ProspectID,LeadOrigin,LeadSource,TotalVisits,TotalTime,PageViews,Specialization,Occupation,Converted
db76c8dc-d6af-484f-ac83-df03b4678295,Landing Page Submission,Direct Traffic,5,1487,5,Finance Management,Student,1
03509345-8a4d-4432-b5a5-49a17f9fdda2,Landing Page Submission,Direct Traffic,4,906,4,Finance Management,Student,1
4d2a4afe-491e-4f27-b215-4d30ae8ef912,Landing Page Submission,Direct Traffic,2,298,2,Finance Management,Student,0
d6aa1d85-7d39-4491-a508-a9bd9217ed0a,Landing Page Submission,Direct Traffic,10,1128,5,"Banking, Investment And Insurance",Student,1
82823e5c-5bf2-44ca-a0d8-86c3c0f65824,Landing Page Submission,Direct Traffic,16,1576,2.67,Select,Student,0
3d70f14c-2106-46af-a2f7-c300ebe20ae6,Landing Page Submission,Direct Traffic,8,61,8,Human Resource Management,Student,0
1b8225c0-4cda-48ea-bc8c-6d2113beef2f,Landing Page Submission,Direct Traffic,2,79,2,"Banking, Investment And Insurance",Student,0
5d89369c-5b2e-4ae5-b742-c77decae2ac1,Landing Page Submission,Direct Traffic,1,400,1,Human Resource Management,Student,0
889c23c8-84d0-4936-97ad-7b438dc2e2d7,Landing Page Submission,Direct Traffic,1,2,1,,Student,0
3255d421-3f6c-41e1-93db-3d6f543fb106,Landing Page Submission,Direct Traffic,1,241,1,Select,Student,0
859ee117-f76b-4b8c-9657-456287ec9859,Landing Page Submission,Direct Traffic,1,1372,1,,Student,0
97295c9b-35b4-4226-8fab-86fc9dda8160,Landing Page Submission,Direct Traffic,1,518,1,,Student,0
6b934d40-c14e-48ab-ac16-e1cc40538084,Landing Page Submission,Direct Traffic,1,328,1,Select,Student,0
4cfd2341-258f-4cb5-9c74-ed4b27f58366,Landing Page Submission,Direct Traffic,1,496,1,,Student,0
ae103776-db17-4c0f-b939-001b427ca11d,Landing Page Submission,Direct Traffic,1,97,1,,Student,0
9b99073c-d8ee-4516-87e5-f482bfe5ed7f,Landing Page Submission,Direct Traffic,1,120,1,,Student,0
d3fea55e-279a-4877-872f-64aa0689119f,Landing Page Submission,Direct Traffic,1,526,1,,Student,0
03175d6f-40ed-4ffc-beba-44b0ba859d3d,Landing Page Submission,Direct Traffic,1,233,1,Select,Student,0
9bb4cdd2-8a71-4824-9c89-49c054db9ec4,Landing Page Submission,Direct Traffic,1,192,1,,Student,0
15bf3f24-8ab8-4ecc-b1cd-32b0620cf0a8,Landing Page Submission,Direct Traffic,1,784,1,,Student,0
55c63087-a986-41e7-a922-360133011669,Landing Page Submission,Direct Traffic,3,1685,1.5,,Student,0
2c7391e6-811a-4d5d-90be-11a2178190be,Landing Page Submission,Direct Traffic,1,199,1,Marketing Management,Student,0
fff4f056-6574-4f97-b85a-ea4198a2915b,Landing Page Submission,Direct Traffic,2,1316,2,IT Projects Management,Student,0
08eca4e1-476f-4236-9ef3-5c150aade006,Landing Page Submission,Direct Traffic,4,646,2,Finance Management,Student,1
0cd586a1-e1ea-4c91-b98c-fb575af57652,Landing Page Submission,Direct Traffic,2,1160,2,Operations Management,Student,0
836eab00-5c65-4c3a-a4a0-7938232a6cf3,Landing Page Submission,Direct Traffic,8,598,4,,Student,0
e5a71968-e946-4fed-ad39-600df65867a0,Landing Page Submission,Direct Traffic,7,32,7,Hospitality Management,Student,0
1e586d41-4d10-4adb-8919-607a49d527b8,Landing Page Submission,Direct Traffic,4,913,4,E-Business,Student,1
7cc0674c-ad7d-43c4-8b4a-ca5a8072d6bd,Landing Page Submission,Direct Traffic,3,34,3,Marketing Management,Student,0
19ae0ff8-134c-4433-ac00-857440c901f2,Landing Page Submission,Direct Traffic,1,496,1,IT Projects Management,Student,1
ce5600f4-52ce-4be8-a078-37b57ee91e2f,Landing Page Submission,Direct Traffic,2,1420,2,Supply Chain Management,Student,0
a1506906-9efb-4e77-8725-ba9c72d8ff50,Landing Page Submission,Direct Traffic,2,217,2,Operations Management,Student,0
cf20c268-8db7-4dd8-b2dd-b98fe224d237,Landing Page Submission,Direct Traffic,9,63,4.5,Marketing Management,Student,0
5e8b601c-8118-4d05-9c97-09c026e946e9,Landing Page Submission,Direct Traffic,3,1385,3,Human Resource Management,Student,1
6c091172-2d2c-4392-b4f8-c7e020ee051b,Landing Page Submission,Direct Traffic,4,205,2,,Student,0
090e8088-0b4a-42db-92ca-56212878264c,Landing Page Submission,Direct Traffic,8,178,4,"Banking, Investment And Insurance",Student,1
6b57ae95-e5ef-49cd-baab-d7ae022c23aa,API,Direct Traffic,9,1241,3,Select,Student,0
1ddc803a-0ea0-415d-ad99-637bdf6e5e24,Landing Page Submission,Direct Traffic,2,306,2,Human Resource Management,Student,0
3899572d-c266-4f5b-95ab-34310d776c94,Landing Page Submission,Direct Traffic,2,344,2,Business Administration,Student,0
2c7e611c-6090-40ca-94e7-e930ee685ec0,Landing Page Submission,Direct Traffic,2,550,2,Marketing Management,Student,0
ed4eb631-3870-44da-bbbc-c3c118473dd5,Landing Page Submission,Direct Traffic,8,1335,8,Human Resource Management,Student,1
d1b26011-66c7-4ffb-8db9-fc9eb5411a50,Landing Page Submission,Direct Traffic,1,60,1,IT Projects Management,Student,0
01cb6c3a-4870-4d8e-ab0c-0ec09dfa08bb,Landing Page Submission,Direct Traffic,4,432,4,Marketing Management,Student,0
b035524d-ee2d-4f4b-9cf1-07165c0f8daa,Landing Page Submission,Direct Traffic,1,224,1,Supply Chain Management,Student,0
be7c9c8a-f114-4ecd-af47-01c3f35e33fb,Landing Page Submission,Direct Traffic,3,206,1.5,International Business,Student,0
cf5dabb5-7287-4149-90e9-93553486f854,Landing Page Submission,Direct Traffic,3,521,3,Finance Management,Student,1
78ae0113-52b0-4473-ada0-d4b43a88197f,Landing Page Submission,Direct Traffic,2,437,2,Hospitality Management,Student,0
079065d2-bfc4-4034-8d0a-9d5a74c85641,Landing Page Submission,Direct Traffic,5,1295,5,"Banking, Investment And Insurance",Student,1
6808316c-cc80-43a0-aa7f-8c1767ea9e90,Landing Page Submission,Direct Traffic,2,37,2,IT Projects Management,Student,0
e71ead55-5b5f-4d75-be96-18236f95b052,Landing Page Submission,Direct Traffic,7,1762,1.4,Finance Management,Student,1
730b3e03-0606-4c86-8263-cf25af832e5d,Landing Page Submission,Direct Traffic,2,339,2,Marketing Management,Student,0
a16686b5-e6cf-4bba-ba68-5d90822f9d97,Landing Page Submission,Direct Traffic,3,1022,3,Retail Management,Student,1
2004504c-f195-4d54-9df7-4cc40f03776e,Landing Page Submission,Direct Traffic,4,1503,2,Healthcare Management,Student,1
ff0c23c8-a830-40c5-8001-061496dcb7fe,Landing Page Submission,Direct Traffic,3,289,3,,Student,0
8d1c925e-6ad6-4050-9ebb-360c60dd915b,Landing Page Submission,Direct Traffic,3,26,3,"Banking, Investment And Insurance",Student,0
cc3919de-2e1a-4211-8ba3-25e3c596b4ca,Landing Page Submission,Direct Traffic,2,141,2,Finance Management,Student,0
07e28415-ffec-4344-908b-81ff03460dac,Landing Page Submission,Direct Traffic,3,342,3,Business Administration,Student,0
8a29c6df-f950-4684-ad41-2fb967e8b300,Landing Page Submission,Direct Traffic,4,334,2,Finance Management,Student,0
ba54a10a-80c1-4179-82cf-6d593406aa88,Landing Page Submission,Direct Traffic,3,127,1.5,IT Projects Management,Student,0
c84883c2-9618-4873-8cf7-561a92ee72db,Landing Page Submission,Direct Traffic,2,210,2,"Banking, Investment And Insurance",Student,0
ebf3c35b-2aed-451d-b57d-acd49c4e748f,Landing Page Submission,Direct Traffic,3,1353,3,Healthcare Management,Student,1
f0ac9a6e-af6e-469b-bdbb-3c8c3a9ebfae,Landing Page Submission,Direct Traffic,7,229,3.5,Healthcare Management,Student,1
0a664931-6431-4d6e-8177-4b5be21814a6,Landing Page Submission,Direct Traffic,1,49,1,Marketing Management,Student,0
7f5e58a1-cdeb-489c-82d1-bde55a6af034,Landing Page Submission,Direct Traffic,2,660,2,"Banking, Investment And Insurance",Student,0
79439cb8-aca6-4238-8053-c5678f5652c2,Landing Page Submission,Direct Traffic,7,499,2.33,Hospitality Management,Student,0
c8243ddd-9daa-4c71-b48f-b176dd5eaf08,Landing Page Submission,Direct Traffic,5,1341,2.5,"Banking, Investment And Insurance",Student,1
ff2b6bd3-ac9f-44f7-a0d1-081638944141,Landing Page Submission,Direct Traffic,2,54,2,Supply Chain Management,Student,0
731c11a2-d653-4289-903b-6e25ab45d729,Landing Page Submission,Direct Traffic,3,321,3,Human Resource Management,Student,0
0cc2df48-7cf4-4e39-9de9-19797f9b38cc,Landing Page Submission,Direct Traffic,1,305,1,Media and Advertising,Unemployed,0
9bc8ce93-6144-49e0-9f9d-080fc980f83c,Landing Page Submission,Direct Traffic,8,1343,2.67,Human Resource Management,Unemployed,1
a8531c22-fcf1-48f8-a711-fb5abf98ad87,Landing Page Submission,Direct Traffic,1,481,1,Business Administration,Unemployed,0
da8c5ce5-52b5-4a4e-bf75-e533d2aca52c,Landing Page Submission,Direct Traffic,7,1174,3.5,Human Resource Management,Unemployed,1
daebea93-20bd-48be-b89b-85c7711ca0d7,API,Direct Traffic,3,342,3,Select,Unemployed,0
85195b85-b384-4745-8e50-719566f70f52,Landing Page Submission,Direct Traffic,6,275,3,Operations Management,Unemployed,0
18633077-5162-4cc6-8728-bc25f7a32fd1,Landing Page Submission,Direct Traffic,2,547,2,Finance Management,Unemployed,0
671f2615-8210-4792-abdd-a1588060cd27,Landing Page Submission,Direct Traffic,1,1710,1,Retail Management,Unemployed,0
ac430bc0-d235-4f54-9c2b-3d1b7e52849e,Landing Page Submission,Direct Traffic,4,219,4,Business Administration,Unemployed,0
0a943ad9-f3d5-46d7-aca0-3fdab53da0e7,Landing Page Submission,Direct Traffic,2,1071,2,Marketing Management,Unemployed,1
076801dc-eba3-4c64-b165-dda70397aa19,Landing Page Submission,Direct Traffic,3,536,3,Finance Management,Unemployed,0
62b4ee1c-1071-42bb-b50d-16412c2acce2,Landing Page Submission,Direct Traffic,4,161,2,Marketing Management,Unemployed,0
35d515d8-e851-4629-803e-492c6b576bd6,Landing Page Submission,Direct Traffic,5,1563,5,Finance Management,Unemployed,1
95f1c454-9f9a-40ef-b521-6fc791f103fb,Landing Page Submission,Direct Traffic,2,638,2,Healthcare Management,Unemployed,0
25b8e642-c1f1-4e49-8557-71d2c78adada,API,Direct Traffic,5,1566,5,Select,Unemployed,0
b2c0f21b-97b3-4d4e-ad9c-9af95f2654f3,Landing Page Submission,Direct Traffic,1,127,1,Finance Management,Unemployed,0
1c104d9a-49f9-4daf-a133-15c73efedbd3,Landing Page Submission,Direct Traffic,2,702,2,Hospitality Management,Unemployed,0
e210e543-584e-42a1-a5ed-7011ced14ef8,Landing Page Submission,Direct Traffic,2,234,1,Finance Management,Unemployed,0
95ba6ee3-ebfa-4e88-be00-059e87ec079b,Landing Page Submission,Direct Traffic,3,245,3,Finance Management,Unemployed,0
068d0803-43ba-45bb-9d32-21d8ec3bebba,Landing Page Submission,Direct Traffic,4,1149,2,Select,Unemployed,0
2d09fce2-eab7-4d6a-b668-eb739cfc5d2d,Landing Page Submission,Direct Traffic,3,1010,3,Supply Chain Management,Unemployed,1
1a95a0ed-5b9b-46d4-8b2c-aff31756523c,Landing Page Submission,Direct Traffic,2,47,2,Business Administration,Unemployed,0
6402d606-839e-4fbd-b1c1-b50a433814c1,Landing Page Submission,Direct Traffic,3,1528,1.5,Operations Management,Unemployed,1
31479eef-bdb8-45d9-a394-8134ed57256b,Landing Page Submission,Direct Traffic,3,381,1.5,Operations Management,Unemployed,0
5266bf8f-ee44-4847-a8cc-19d49e30dfa9,API,Direct Traffic,2,205,2,Select,Unemployed,0
c800a9c6-9f91-42f4-88e7-c4f9023d6f88,Landing Page Submission,Direct Traffic,1,1106,1,Finance Management,Unemployed,1
f942f0fe-55e2-4e23-bae8-346c55278fb0,Landing Page Submission,Direct Traffic,9,1953,1.8,Supply Chain Management,Unemployed,1
82b11e37-cba7-4757-bd73-0cfa33665dba,Landing Page Submission,Direct Traffic,2,1587,2,E-COMMERCE,Unemployed,1
603532ad-117d-436a-82c3-cca41f4c8470,Landing Page Submission,Direct Traffic,2,1509,2,E-Business,Unemployed,1
15594d8b-eee1-4d03-a6bc-05454972c1b6,Landing Page Submission,Direct Traffic,4,187,4,Human Resource Management,Unemployed,0
038dc19c-b7ea-4cc3-a95b-9a13e477c4b1,Landing Page Submission,Direct Traffic,9,1164,4.5,Healthcare Management,Unemployed,1
a18c6be1-8a7b-4ed1-b1c2-bdd2de83bcc5,Landing Page Submission,Direct Traffic,1,1362,1,Rural and Agribusiness,Unemployed,1
80ffbb0e-a3e7-4afe-905d-0172fdd48a15,Landing Page Submission,Direct Traffic,7,74,2.33,Finance Management,Unemployed,0
c6afd99a-116a-403c-8f23-7022e2836891,Landing Page Submission,Direct Traffic,3,66,3,IT Projects Management,Unemployed,0
e0c1f7c8-b696-4d97-ae42-d3974bccdcb4,Landing Page Submission,Direct Traffic,7,116,7,Human Resource Management,Unemployed,1
4416c20d-11b7-4e8c-b4c9-7b27dd0f94f1,Landing Page Submission,Direct Traffic,2,1054,2,Human Resource Management,Unemployed,0
41bed798-480f-4714-822b-5d5d6a93ea6e,API,Direct Traffic,5,1837,2.5,Finance Management,Unemployed,1
cc487e97-dc1e-426a-99bf-bf751a7dd740,Landing Page Submission,Direct Traffic,1,1226,1,Human Resource Management,Unemployed,0
29d73a75-3d92-4ecc-ac96-32a3c05add24,API,Direct Traffic,11,10,5.5,Select,Unemployed,0
144f76c0-2a6b-4590-99ec-39e36e9d55d9,Landing Page Submission,Direct Traffic,2,526,2,Human Resource Management,Unemployed,1
bbcfddcc-1bc8-4c30-b036-9782b3526f7c,Landing Page Submission,Direct Traffic,4,174,4,Human Resource Management,Unemployed,0
c9074146-8978-48f4-8bc4-186c516d7c75,Landing Page Submission,Direct Traffic,5,254,1.25,Finance Management,Unemployed,1
20e7d610-e4ff-404c-9874-0320035afe4e,Landing Page Submission,Direct Traffic,4,1410,4,Marketing Management,Unemployed,0
362badd1-befe-4dde-a3ab-84a9ff5a644a,Landing Page Submission,Direct Traffic,6,209,3,Healthcare Management,Unemployed,0
48d600e0-35b9-430d-b699-8d21e503d4c3,Landing Page Submission,Direct Traffic,4,3,4,International Business,Unemployed,0
d4dd872b-14e7-4e2e-81ad-52e62ef19ce3,Landing Page Submission,Direct Traffic,7,901,7,Marketing Management,Unemployed,1
9db9110d-56f9-455e-96d6-5159029eb5cb,Landing Page Submission,Direct Traffic,3,35,3,Human Resource Management,Unemployed,0
2c8bc57c-7383-467a-b061-d291e4bbc0db,Landing Page Submission,Direct Traffic,3,365,3,IT Projects Management,Unemployed,0
0481b169-304f-4814-85bf-65af5688b954,Landing Page Submission,Direct Traffic,4,1354,4,Business Administration,Unemployed,1
5390c5fe-b12c-4f6e-ae92-908672abb0a1,Landing Page Submission,Direct Traffic,2,402,2,Media and Advertising,Unemployed,0
0a8a1065-09bb-4f40-8286-c614c4f63daf,Landing Page Submission,Direct Traffic,3,211,3,Marketing Management,Unemployed,0
8a850005-f951-4164-8671-70281f39b698,Landing Page Submission,Direct Traffic,2,703,2,Finance Management,Unemployed,1
48ef69a5-c666-4e43-932f-2ca404e5252d,Landing Page Submission,Direct Traffic,2,398,2,Human Resource Management,Unemployed,0
3f78a489-a8f9-43d7-b169-2b35c318f338,Landing Page Submission,Direct Traffic,3,46,3,Finance Management,Unemployed,0
073fb427-f92a-4c5f-b421-bf7ffbd767d8,Landing Page Submission,Direct Traffic,2,107,2,E-Business,Unemployed,1
77d95b1e-fde7-493a-a4fd-a38bacccbb95,Landing Page Submission,Direct Traffic,8,321,4,Business Administration,Unemployed,0
549f44ca-7d3d-42ee-9868-cf00b86265af,Landing Page Submission,Direct Traffic,2,2,2,Healthcare Management,Unemployed,0
1e515b45-a44a-42a5-8957-804583656d1d,Landing Page Submission,Direct Traffic,2,183,2,Human Resource Management,Unemployed,0
3a093550-a5ce-43e5-bd6c-2496a4f943bb,Landing Page Submission,Direct Traffic,4,1385,4,Supply Chain Management,Unemployed,1
547d174e-fc4f-4015-9eaf-738f6905d260,Landing Page Submission,Direct Traffic,4,439,4,E-COMMERCE,Unemployed,0
14190324-cbde-4fa9-86e6-b78f5c9cbf9b,Landing Page Submission,Direct Traffic,2,1429,2,Finance Management,Unemployed,0
3ae07743-278b-42bf-a07c-65b53a57a493,Landing Page Submission,Direct Traffic,5,357,5,Finance Management,Unemployed,0
6578585b-fd38-4f36-8bfb-35e531848e63,Landing Page Submission,Direct Traffic,3,1577,1.5,Operations Management,Unemployed,0
a1859e22-5e1b-43f2-804e-34ff5353e9a0,Landing Page Submission,Direct Traffic,3,308,1.5,Supply Chain Management,Unemployed,0
758ed6e9-5092-4638-8b73-396eca59913c,API,Direct Traffic,5,4,1.67,Select,Unemployed,0
15c16425-0c3f-4edb-b266-b7bd312dca26,Landing Page Submission,Direct Traffic,2,1368,2,"Banking, Investment And Insurance",Unemployed,1
b38eb639-ce0a-4244-b0aa-408766e35496,Landing Page Submission,Direct Traffic,5,221,5,Travel and Tourism,Unemployed,0
086ca890-6680-45eb-9925-93b856712985,Landing Page Submission,Direct Traffic,2,25,2,IT Projects Management,Unemployed,0
df2094b2-3498-4908-a4e2-9700235573e4,Landing Page Submission,Direct Traffic,2,210,2,Finance Management,Unemployed,0
24f4ee74-463c-4f34-984f-4acd0725d85f,Landing Page Submission,Direct Traffic,2,1499,2,Finance Management,Unemployed,1
d95f0584-4e20-4ad1-b3af-7b8dacb4aa23,Landing Page Submission,Direct Traffic,4,1588,4,Supply Chain Management,Unemployed,1
14d90cba-83b5-482f-a1f8-31990974ae03,Landing Page Submission,Direct Traffic,2,813,2,Finance Management,Unemployed,1
f2dc2569-9a9b-4461-b2d2-b745221eab7c,Landing Page Submission,Direct Traffic,2,122,2,Finance Management,Unemployed,0
6de1dbac-93c4-408d-b835-ca4dd0adabfc,Landing Page Submission,Direct Traffic,2,340,2,Finance Management,Unemployed,1
d65b9f53-4519-463a-8671-8a58edaa953b,Landing Page Submission,Direct Traffic,4,34,2,Operations Management,Unemployed,0
570cefed-7494-4221-817a-22a8f8922c6b,Landing Page Submission,Direct Traffic,4,1298,4,Finance Management,Unemployed,1
2cb66fac-4933-452e-8afe-daa9cf778401,Landing Page Submission,Direct Traffic,3,1662,3,Supply Chain Management,Unemployed,1
81346bcb-3515-4ce7-be65-dbe71881005f,Landing Page Submission,Direct Traffic,7,834,3.5,International Business,Unemployed,1
1cd0f766-86cb-4264-90e3-0b3a6c94db34,API,Direct Traffic,2,297,2,Select,Unemployed,0
435cb827-db56-4301-9f5e-14e1be5a9ffd,Landing Page Submission,Direct Traffic,5,887,2.5,International Business,Unemployed,0
63a3d091-41ab-45a8-ad0b-3efdb4647a42,Landing Page Submission,Direct Traffic,18,59,2.57,Business Administration,Unemployed,1
4ab47065-196e-445e-8080-95d39045a487,API,Direct Traffic,7,1028,3.5,Select,Unemployed,0
002da94e-b168-4e27-bdeb-a0da92666434,Landing Page Submission,Direct Traffic,4,171,2,Select,Unemployed,0
01b9f473-3609-4846-a0e4-ddcd1f6170ae,Landing Page Submission,Direct Traffic,9,942,1.8,Finance Management,Unemployed,0
01ca067f-a6a4-4ce3-9f88-df4898ea8288,API,Direct Traffic,3,492,3,Select,Unemployed,1
44ae4200-b63d-483a-b85b-41eb4bd4ae24,Landing Page Submission,Direct Traffic,10,824,10,Travel and Tourism,Unemployed,0
fa36d090-868a-4199-979f-8984312f72a0,Landing Page Submission,Direct Traffic,3,388,3,Finance Management,Unemployed,0
915cc24a-3e2d-4223-8855-641c814334d1,Landing Page Submission,Direct Traffic,2,590,2,Operations Management,Unemployed,0
7a0ad8e1-f7e2-40c2-8fb0-c739ceffd448,Landing Page Submission,Direct Traffic,3,1829,3,Supply Chain Management,Unemployed,0
fb78dbb4-bade-4306-be6c-ee043e419090,Landing Page Submission,Direct Traffic,2,162,2,Finance Management,Unemployed,0
ff3f7363-3da2-4028-aa6d-f15f30be46b8,Landing Page Submission,Direct Traffic,5,1,5,Hospitality Management,Unemployed,0
dc8e73e0-c435-4571-b795-1b476be86fd0,Landing Page Submission,Direct Traffic,3,954,3,Business Administration,Unemployed,1
0d17fd16-850f-4550-836d-911cad5dcbc6,Landing Page Submission,Direct Traffic,4,941,2,Marketing Management,Unemployed,1
ce68ad09-cc22-4a59-bf1f-dafdb572d1af,Landing Page Submission,Direct Traffic,7,219,2.33,Human Resource Management,Unemployed,0
33bfc01d-6467-4336-b2b9-943faa30b866,Landing Page Submission,Direct Traffic,15,317,5,Finance Management,Unemployed,0
ca85f037-250b-40e4-bd0d-fab5a335495f,Landing Page Submission,Direct Traffic,2,215,2,Business Administration,Unemployed,0
d36f6554-42d7-4e78-9200-816643a9c543,Landing Page Submission,Direct Traffic,6,1377,6,Marketing Management,Unemployed,1
c92f7ee5-c9df-4d52-b49f-5517f27440b0,Landing Page Submission,Direct Traffic,1,315,1,IT Projects Management,Unemployed,1
810ab69c-424e-444f-8961-bfc835b9984a,API,Direct Traffic,9,100,4.5,Select,Unemployed,0
6957921a-0d65-4d27-9366-715c00e65db2,Landing Page Submission,Direct Traffic,2,321,2,Finance Management,Unemployed,1
eac5d9e5-b7aa-4601-9bcd-f26050eddcf6,Landing Page Submission,Direct Traffic,3,1826,3,Operations Management,Unemployed,1
3309d790-af02-4246-aa32-d5a43bed3e9d,Landing Page Submission,Direct Traffic,6,1026,6,Healthcare Management,Unemployed,0
7d3358fc-f64f-4aab-b5fc-36f5af83749a,Landing Page Submission,Direct Traffic,2,330,2,Supply Chain Management,Unemployed,1
18678c43-29f7-4876-b618-5e4ab7cadf5b,API,Direct Traffic,3,129,3,Operations Management,Unemployed,0
c849b45f-5434-442c-85f4-43e7797e4557,API,Direct Traffic,1,126,1,Select,Unemployed,0
f5ce8122-75ca-4e53-87af-19d2ea2d30d3,Landing Page Submission,Direct Traffic,2,1502,2,Retail Management,Unemployed,0
e4642442-a260-4a2f-921f-fdbc8f1e34a6,Landing Page Submission,Direct Traffic,4,1371,4,Operations Management,Unemployed,0
0a96b73b-7b51-48da-857c-d25d40560803,Landing Page Submission,Direct Traffic,2,1744,2,Media and Advertising,Unemployed,1
b8e0e632-8791-41dd-bb0f-cd40de7e7f57,Landing Page Submission,Direct Traffic,2,1995,2,Operations Management,Unemployed,0
06b0873b-e674-4998-a08e-ea548f6ccc30,API,Direct Traffic,20,808,2.86,Supply Chain Management,Unemployed,0
f2b9ea56-11d7-4c82-b781-bdddd2375cf7,Landing Page Submission,Direct Traffic,1,166,1,IT Projects Management,Unemployed,1
424e4ffd-efc9-4dc8-8cd2-5cf3b3e56223,Landing Page Submission,Direct Traffic,43,57,3.91,Marketing Management,Unemployed,0
b2f03c61-ca4d-40d1-adbf-596e1c6073f8,Landing Page Submission,Direct Traffic,10,124,5,Human Resource Management,Unemployed,0
534f474c-5743-4378-b672-10eafb7003fc,Landing Page Submission,Direct Traffic,4,1267,4,Marketing Management,Unemployed,1
73ac6d51-9661-4db7-9407-f42423f0c72f,Landing Page Submission,Direct Traffic,5,1546,5,Supply Chain Management,Unemployed,1
2a0caa09-ff85-47c6-b4dd-b240986b01c7,Landing Page Submission,Direct Traffic,1,353,1,Finance Management,Unemployed,0
6c68b627-287f-4558-a300-030811c99e5e,Landing Page Submission,Direct Traffic,3,1368,3,Marketing Management,Unemployed,1
d3ac3309-008b-41fe-8eb5-4efee4f7007b,Landing Page Submission,Direct Traffic,2,277,2,Healthcare Management,Unemployed,1
b8032ffc-6a6b-48cc-a156-c70666b496d6,Landing Page Submission,Direct Traffic,3,1095,3,Finance Management,Unemployed,0
fcd636dc-58b7-4110-85a2-2bd923d3696c,Landing Page Submission,Direct Traffic,1,239,1,Healthcare Management,Unemployed,0
ca51467b-b562-4db5-8623-6011af18f12e,API,Direct Traffic,4,1839,2,Finance Management,Unemployed,1
0a744ea9-fcd8-464a-895e-bb247143e082,Landing Page Submission,Direct Traffic,2,918,2,IT Projects Management,Unemployed,0
02f8c168-997a-4291-b59b-00efa59b8acf,Landing Page Submission,Direct Traffic,7,389,7,Finance Management,Unemployed,0
02d11117-9d5d-43a5-bb2d-cccdff9fc7b7,Landing Page Submission,Direct Traffic,2,247,2,Human Resource Management,Unemployed,0
